Shift,Real_Time
1,0.00259628
2,0.00519256
3,0.00778885
4,0.0103851
5,0.0129814
6,0.0155777
7,0.018174
8,0.0207703
10,0.0259628
11,0.0285591
13,0.0337517
15,0.0389442
17,0.0441368
19,0.0493294
22,0.0571182
25,0.064907
29,0.0752922
34,0.0882736
38,0.0986587
44,0.114236
51,0.13241
58,0.150584
67,0.173951
76,0.197317
87,0.225877
100,0.259628
115,0.298572
132,0.342709
151,0.392039
173,0.449157
198,0.514064
227,0.589356
260,0.675033
298,0.773692
341,0.885332
390,1.01255
447,1.16054
512,1.3293
587,1.52402
672,1.7447
770,1.99914
